POINTNUMBER;POINTNAME;STATIONNAME;STATIONNAMEABBREVIATED;PUNTOSINTER;NOMBRESINTER
60253;345_TRFTG12_Q;TERMO ANDES;TAN;2,60253;345_TRFTG12_Q
60254;345_TRFTG12_V;TERMO ANDES;TAN;2,60254;345_TRFTG12_V
60258;5NODO3  V;MONTE QUEMADO;MQU;2,60258;5NODO3  V
60259;5NODO4  V;MONTE QUEMADO;MQU;2,60259;5NODO4  V
60260;5CHA-MQ1 I;MONTE QUEMADO;MQU;2,6026;5CHA-MQ1 I
60261;5CHA-MQ1 P;MONTE QUEMADO;MQU;2,60261;5CHA-MQ1 P
60262;5CHA-MQ1 Q;MONTE QUEMADO;MQU;2,60262;5CHA-MQ1 Q
60263;5CBMQ1   I;MONTE QUEMADO;MQU;2,60263;5CBMQ1   I
60264;5CBMQ1   P;MONTE QUEMADO;MQU;2,60264;5CBMQ1   P
60265;5CBMQ1   Q;MONTE QUEMADO;MQU;2,60265;5CBMQ1   Q
60266;5NODO5  V;MONTE QUEMADO;MQU;2,60266;5NODO5  V
60267;5NODO6  V;MONTE QUEMADO;MQU;2,60267;5NODO6  V
60268;5T1MQ    I;MONTE QUEMADO;MQU;2,60268;5T1MQ    I
60269;5T1MQ    P;MONTE QUEMADO;MQU;2,60269;5T1MQ    P
60270;5T1MQ    Q;MONTE QUEMADO;MQU;2,6027;5T1MQ    Q
60271;5T1MQ    RBC;MONTE QUEMADO;MQU;2,60271;5T1MQ    RBC
60272;1A A B  IB;MONTE QUEMADO;MQU;2,60272;1A A B  IB
60273;1T1MQ    I;MONTE QUEMADO;MQU;2,60273;1T1MQ    I
60274;1T1MQ    V;MONTE QUEMADO;MQU;2,60274;1T1MQ    V
60275;1T1MQ    P;MONTE QUEMADO;MQU;2,60275;1T1MQ    P
60276;1T1MQ    Q;MONTE QUEMADO;MQU;2,60276;1T1MQ    Q
60277;1CGA-MQ1 I;MONTE QUEMADO;MQU;2,60277;1CGA-MQ1 I
60278;1CGA-MQ1 V;MONTE QUEMADO;MQU;2,60278;1CGA-MQ1 V
60279;1CGA-MQ1 P;MONTE QUEMADO;MQU;2,60279;1CGA-MQ1 P
60280;1CGA-MQ1 Q;MONTE QUEMADO;MQU;2,6028;1CGA-MQ1 Q
60281;01PW    TD   01 POTENCIA ACTIVA MAQUINA SULLAIR;AATUYA;ANA;2,60281;01PW    TD   01 
60282;01PQ    TD   01 POTENCIA REACTIVA MAQUINA SULLAIR;AATUYA;ANA;2,60282;01PQ    TD   01 
60283;ENA-CAT 01PW TG;CATAMARCA 1;CAT1;2,60283;ENA-CAT 01PW TG
60284;ENA-CAT 01PQ TG;CATAMARCA 1;CAT1;2,60284;ENA-CAT 01PQ TG
