60074,"13PQ_SA_01",132,"Generación","Q","G","PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60075,"13RBC_TR_TG2",132,"Generación","Punto de RBC",,"PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60076,"13PW_TR_TG2",132,"Generación","PG","G","PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60077,"13PQ_TR_TG2",132,"Generación","Q","G","PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60078,"13TEN_TR_TG2",132,"Generación","Tensión",,"PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60079,"01PW_TG_02","13,2","Generación","PG","G","PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60080,"01PQ_TG_02","13,2","Generación","Q","G","PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60081,"13RBC_TR_TG1",132,"Transformador","Punto de RBC",,"PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60082,"13PW_TR_TG1",132,"Generación","PG","G","PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60083,"13PQ_TR_TG1",132,"Generación","Q","G","PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60084,"13TEN_TR_TG1",132,"Generación","Tensión",,"PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60085,"01PW_TG_03","13,2","Generación","PG","G","PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60086,"01PQ_TG3","13,2","Generación","Q","G","PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60087,"01PW_TR_001","13,2","Transformador","PG","T","GEN","GENERADORES","TUCUMAN","CENTRO",
60088,"01PQ_TR_001","13,2","Transformador","Q","T","GEN","GENERADORES","TUCUMAN","CENTRO",
60089,"01PW_TG_021","13,2","Generación","P","G","GEN","GENERADORES","TUCUMAN","CENTRO",
60090,"01PQ_TG_021","13,2","Generación","Q","G","GEN","GENERADORES","TUCUMAN","CENTRO",
60091,"GUE_PW_TOTAL",0,"Generación","P","G","GEN","GENERADORES","SALTA","NORTE",
60092,"GUE_PQ_TOTAL",0,"Generación","Q","G","GEN","GENERADORES","SALTA","NORTE",
60093,"13NBC_TR_002_(1)",132,"Transformador","Punto de RBC",,"GEN","GENERADORES","SALTA","NORTE",
60094,"13NBC_TR_003_(1)",132,"Transformador","Punto de RBC",,"GEN","GENERADORES","SALTA","NORTE",
60095,"50NBC_TR_004",500,"Transformador","Punto de RBC",,"GEN","GENERADORES","SALTA","NORTE",
60096,"13NBC_TR_001",132,"Transformador","Punto de RBC",,"GEN","GENERADORES","SALTA","NORTE",
60097,"13NBC_TR_002_(2)",132,"Transformador","Punto de RBC",,"GEN","GENERADORES","SALTA","NORTE",
60098,"13NBC_TR_003_(2)",132,"Transformador","Punto de RBC",,"GEN","GENERADORES","SALTA","NORTE",
60099,"50NBC_TR_001",500,"Transformador","Punto de RBC",,"GEN","GENERADORES","SALTA","NORTE",
60100,"50NBC_TR_002",500,"Transformador","Punto de RBC",,"GEN","GENERADORES","SALTA","NORTE",
60104,"GUE_13PW_TR_001",132,"Transformador","P","T","GEN","GENERADORES","SALTA","NORTE",
60105,"GUE_13PQ_TR_001",132,"Transformador","Q","T","GEN","GENERADORES","SALTA","NORTE",
60106,"GUE_01PW_TG_021","13,2","Generación","PG","G","GEN","GENERADORES","SALTA","NORTE",
60107,"GUE_01PQ_TG_021","13,2","Generación","Q","G","GEN","GENERADORES","SALTA","NORTE",
60108,"BRA_AFE_RBC_SA2",0,"Transformador","Punto de RBC",,"GEN","GENERADORES","SALTA","NORTE",
60109,"BRA_AFE_13TEN_A2",132,"Generación","Tensión",,"GEN","GENERADORES","SALTA","NORTE",
60110,"BRA_AFE_01PW_G2","13,2","Generación","PG","G","GEN","GENERADORES","TUCUMAN","CENTRO",
60111,"BRA_AFE_01PQ_G2","13,2","Generación","Q","G","GEN","GENERADORES","TUCUMAN","CENTRO",
60112,"13TEN_B_P",132,"Transformador","Punto de RBC",,"MQU","GENERADORES","TUCUMAN","CENTRO",
60113,"13TEN_B_T",132,"Generación","Tensión",,"MQU","GENERADORES","TUCUMAN","CENTRO",
60114,"50TEN_B_A","13,2","Generación","PG","G","MQU","GENERADORES","TUCUMAN","CENTRO",
60115,"50TEN_B_B","13,2","Generación","Q","G","MQU","GENERADORES","TUCUMAN","CENTRO",
60201,"5NODO_5_V",500,"Barra","Tensión",,"COB","COBOS","SALTA","NORTE",
60202,"5NODO_6_V",500,"Barra","Tensión",,"COB","COBOS","SALTA","NORTE",
60203,"5BRCB1_I",500,"Linea","Corriente",,"COB","COBOS","SALTA","NORTE",
60204,"5BRCB1_P",500,"Linea","P","I","COB","COBOS","SALTA","NORTE",
60205,"5BRCB1_Q",500,"Linea","Q","I","COB","COBOS","SALTA","NORTE",
60206,"5NODO_8_V",500,"Barra","Tensión",,"COB","COBOS","SALTA","NORTE",
60207,"5T1CB_I",500,"Transformador","Corriente",,"COB","COBOS","SALTA","NORTE",
60208,"5T1CB_P",500,"Transformador","P","T","COB","COBOS","SALTA","NORTE",
60209,"5T1CB_Q",500,"Transformador","Q","T","COB","COBOS","SALTA","NORTE",
60210,"4T1CB_I",345,"Transformador","Corriente",,"COB","COBOS","SALTA","NORTE",
60211,"4T1CB_V",345,"Transformador","Tensión",,"COB","COBOS","SALTA","NORTE",
60212,"4T1CB_P",345,"Transformador","P","T","COB","COBOS","SALTA","NORTE",
60213,"4T1CB_Q",345,"Transformador","Q","T","COB","COBOS","SALTA","NORTE",
60214,"5T1CB_RBC",500,"Transformador","Punto de RBC",,"COB","COBOS","SALTA","NORTE",
60215,"5NODO_3_V",500,"Barra","Tensión",,"COB","COBOS","SALTA","NORTE",
60216,"5NODO_4_V",500,"Barra","Tensión",,"COB","COBOS","SALTA","NORTE",
60217,"5CBMQ1_I",500,"Linea","Corriente",,"COB","COBOS","SALTA","NORTE",
60218,"5CBMQ1_P",500,"Linea","P","I","COB","COBOS","SALTA","NORTE",
60219,"5CBMQ1_Q",500,"Linea","Q","I","COB","COBOS","SALTA","NORTE",
60220,"5NODO_7_V",500,"Barra","Tensión",,"COB","COBOS","SALTA","NORTE",
60221,"5CBSO1_I",500,"Linea","Corriente",,"COB","COBOS","SALTA","NORTE",
60222,"5CBSO1_P",500,"Linea","P","I","COB","COBOS","SALTA","NORTE",
60223,"5CBSO1_Q",500,"Linea","Q","I","COB","COBOS","SALTA","NORTE",
60224,"5CBSO1_V",500,"Linea","Tensión",,"COB","COBOS","SALTA","NORTE",
60225,"5CBSO1_I_B",500,"Linea","Corriente",,"COB","COBOS","SALTA","NORTE",
60226,"5CBSO1_P_B",500,"Linea","P","I","COB","COBOS","SALTA","NORTE",
60227,"5CBSO1_Q_B",500,"Linea","Q","I","COB","COBOS","SALTA","NORTE",
60228,"5T1SO_V",500,"Transformador","Tensión",,"SJU","SAN JUANCITO","JUJUY","NORTE",
60229,"5T1SO_I",500,"Transformador","Corriente",,"SJU","SAN JUANCITO","JUJUY","NORTE",
60230,"5T1SO_P",500,"Transformador","P","T","SJU","SAN JUANCITO","JUJUY","NORTE",
60231,"5T1SO_Q",500,"Transformador","Q","T","SJU","SAN JUANCITO","JUJUY","NORTE",
60232,"5T1SO_RBC",500,"Transformador","Punto de RBC",,"SJU","SAN JUANCITO","JUJUY","NORTE",
60233,"1T1SO_I",0,"Transformador","Corriente",,"SJU","SAN JUANCITO","JUJUY","NORTE",
60234,"1T1SO_V",0,"Transformador","Tensión",,"SJU","SAN JUANCITO","JUJUY","NORTE",
60235,"1T1SO_P",0,"Transformador","P","T","SJU","SAN JUANCITO","JUJUY","NORTE",
60236,"1T1SO_Q",0,"Transformador","Q","T","SJU","SAN JUANCITO","JUJUY","NORTE",
60237,"1A_A_B_I",0,"Acoplamiento","Corriente",,"SJU","SAN JUANCITO","JUJUY","NORTE",
60238,"1AL10_I",0,"Acoplamiento","Corriente",,"SJU","SAN JUANCITO","JUJUY","NORTE",
