"POINTNUMBER","POINTNAME","STATIONNAMEABBREVIATED"
101007,"03CTE   REDUCCION 02 CORRIENTE","LUL"
101008,"03CTE  REDUCCION 01 CORRIENTE","LUL"
101009,"03CTE  MERCEDES 1 CORRIENTE","LUL"
101078,"03TEN   B   A   TENSION","LUL"
101079,"13TEN   B   A   TENSION","LUL"
101080,"13PW     L  PTU  POTENCIA ACTIVA","LUL"
101081,"13PQ     L  PTU  POTENCIA REACTIVA","LUL"
101082,"03TEN   B   B   TENSION","LUL"
102000,"13FRE            FRECUENCIA","TUN"
102001,"13TEN    L  TRA  TENSION","TUN"
102002,"13TEN    L  MET  TENSION","TUN"
102003,"13TEN    L  CAD  TENSION","TUN"
102004,"01CTE   SUIPACHA CORRIENTE","TUN"
102005,"01CTE      SOEME CORRIENTE","TUN"
102006,"01CTE    URQUIZA CORRIENTE","TUN"
102007,"01CTE     TR  01 CORRIENTE","TUN"
102008,"01CTE   MOTOROLA CORRIENTE","TUN"
102009,"01CTE     TR  02 CORRIENTE","TUN"
102010,"01CTE    LOMAS 3 CORRIENTE","TUN"
102011,"01CTE  LOMAS 1:2 CORRIENTE","TUN"
102012,"01CTE     RUTA 9 CORRIENTE","TUN"
102013,"01CTE TAFI VIEJO CORRIENTE","TUN"
102014,"03CTE TAFI VIEJO CORRIENTE","TUN"
102015,"03CTE    TRANCAS CORRIENTE","TUN"
102016,"03CTE   EL TIMBO CORRIENTE","TUN"
102017,"03CTE    C. POZO CORRIENTE","TUN"
102018,"13TEN    L2  CPO  TENSION","TUN"
102019,"01CTE    HEREDIA CORRIENTE","TUN"
102020,"01CTE   SALVADOR CORRIENTE","TUN"
102021,"01CTE     MORENO CORRIENTE","TUN"
102022,"13CTE    OF SAR  CORRIENTE","TUN"
102023,"13CTE    L1 CPO  CORRIENTE","TUN"
102024,"13CTE    L2 CPO  CORRIENTE","TUN"
102025,"13CTE    L  TOE  CORRIENTE","TUN"
102026,"13CTE    L  CAD  CORRIENTE","TUN"
102027,"13CTE    L  MET  CORRIENTE","TUN"
102028,"13CTE    L  TRA  CORRIENTE","TUN"
102029,"13PW     L2 CPO  POTENCIA ACTIVA","TUN"
102030,"13PW     L1 CPO  POTENCIA ACTIVA","TUN"
102031,"13PW     L  TOE  POTENCIA ACTIVA","TUN"
102032,"13PW     L  TRA  POTENCIA ACTIVA","TUN"
